Модель,Магазин,Цена
Смартфон Apple iPhone 5S 16 GB CPO Space Gray FE432UAA,Moyo.ua,8 499 грн.
Apple iPhone 5s 16GB Gold (FE434UA/A) как новый Original factory refurbish,Rozetka.ua,8 499 грн.
Смартфон Apple iPhone 5S 16 GB CPO Gold ZKFE434UAA,Moyo.ua,8 499 грн.
Смартфон Apple iPhone 5S 16 GB Space Gray + Скидка 500 грн по Trade-In ME4,Moyo.ua,9 999 грн.
Apple iPhone 5s 16GB Space Gray (FE432UA/A) как новый Original factory ref,Rozetka.ua,8 499 грн.
Apple iPhone 5s 16GB Space Gray (ME432UA/A),Rozetka.ua,9 999 грн.
Apple iPhone 5s 16GB Silver (FE433UA/A) как новый Original factory refurbi,Rozetka.ua,8 499 грн.
Apple iPhone 5S 16GB (Space Gray),Buy.ua,8 556 грн.
iPhone 5S 16GB (Silver),Toiler.com.ua,8 119 грн.
Apple iPhone 5S 16Gb Space Grey,Skay.ua,9 999 грн.
Apple iPhone 5S 16GB silver white,АЛЛО,9 999 грн.
Apple iPhone 5S 16GB (Silver),Avic.ua,8 060 грн.
Apple iPhone 5S 16Gb (Space Gray) NEW,Нотус,8 698 грн.
Apple iPhone 5S 16GB (Space Gray),My Cloud Store,7 935 грн.
iPhone 5s 16Gb Gold,Easymac.com.ua,8 760 грн.
Apple iPhone 5s 16Gb Space Gray,Top-e.com.ua,7 995 грн.
Apple iPhone 5S 16GB (Gold) Refurbished (1 мес гарантии),City.com.ua,7 222 грн.
Apple iPhone 5s 16GB (Space Gray),Citrus.ua,9 999 грн.
Мобильный телефон APPLE iPhone 5s 16Gb space grey,Neo24.com.ua,9 665 грн.
Apple iPhone 5S 16GB Silver,Stylus.com.ua,9 999 грн.
Смартфон Apple iPhone 5S 16GB (Silver),Jetpad.com.ua,6 669 грн.
iPhone 5s 16Gb gold Apple refurbished,E-ton.ua,8 499 грн.
Apple iPhone 5s- 16Gb Silver ME433,G-store.com.ua,8 786 грн.
APPLE iPhone 5S - 16Gb Silver ME433RU/A,Brein.com.ua,9 800 грн.
Apple iPhone 5S 16GB Space Gray (Factory Refurbished) 100 д.,iTMag.ua,6 099 грн.
Apple iPhone 5S 16GB (Gold),Buy.ua,8 903 грн.
Apple iPhone 5S 16GB (Silver),Buy.ua,8 804 грн.
iPhone 5S 16GB (Gold),Toiler.com.ua,8 277 грн.
iPhone 5S 16GB (Space Gray),Toiler.com.ua,8 094 грн.
Apple iPhone 5S 16Gb Silver,Skay.ua,9 999 грн.
Apple iPhone 5S 16Gb Gold,Skay.ua,9 999 грн.
Apple iPhone 5S 16Gb Silver (Refurbished),Skay.ua,8 499 грн.
Apple iPhone 5S 16Gb Space Grey (Refurbished),Skay.ua,8 499 грн.
